DPU,reduction_network,dataflow,cluster_count,psum_access_counter,input_access_counter,weight_access_counter,output_access_counter,total_access,used_mrr_counter,unused_mrr_counter
AMM,S_Tree,RIS,1,25260528,23644760,3735099460,9584937.0,3793589685.0,7470198920,14354897272
AMM,S_Tree,RIS,2,32836744,23644760,1872563512,9584937.0,1938629953.0,5607662972,8577810436
AMM,S_Tree,RIS,4,47107352,23644760,936281756,9584937.0,1016618805.0,4671381216,5503806816
AMM,S_Tree,RIS,8,82528784,23644760,473154660,9584937.0,588913141.0,4208254120,4704854552
AMM,S_Tree,RIS,16,152440256,23644760,241595208,9584937.0,427265161.0,3976694668,4255079156
AMM,S_Tree,RIS,32,295820736,23644760,120950628,9584937.0,450001061.0,3856050088,4131109784
AMM,S_Tree,RWS,1,25260528,3735099460,14358817,9584937.0,3784303742.0,7470198920,14354897272
AMM,S_Tree,RWS,2,32833288,1871045432,14358817,9584937.0,1927822474.0,5606144892,8577835524
AMM,S_Tree,RWS,4,47111320,935525404,14358817,9584937.0,1006580478.0,4670624864,5505420256
AMM,S_Tree,RWS,8,82321808,471258404,14358817,9584937.0,577523966.0,4206357864,4684397400
AMM,S_Tree,RWS,16,151180608,239198632,14358817,9584937.0,414322994.0,3974298092,4189454740
AMM,S_Tree,RWS,32,293830976,119954484,14358817,9584937.0,437729214.0,3855053944,4078382408
AMM,S_Tree,ROS,1,25260528,3735099460,44229185,9584937.0,3814174110.0,7470198920,14354897272
AMM,S_Tree,ROS,2,32833288,1871045432,44229185,9584937.0,1957692842.0,7470198920,6713781496
AMM,S_Tree,ROS,4,47111320,935525404,44229185,9584937.0,1036450846.0,7470198920,2705846200
AMM,S_Tree,ROS,8,82321808,471258404,44229185,9584937.0,607394334.0,7470198920,1420556344
AMM,S_Tree,ROS,16,151180608,239198632,44229185,9584937.0,444193362.0,7470198920,693553912
AMM,S_Tree,ROS,32,293830976,119954484,44229185,9584937.0,467599582.0,7470198920,463237432
AMM,ST_Tree_Ac,RIS,1,0,23644760,3735099460,9584937.0,3768329157.0,7470198920,14354897272
AMM,ST_Tree_Ac,RIS,2,32836744,23644760,1872563512,9584937.0,1938629953.0,5607662972,8577810436
AMM,ST_Tree_Ac,RIS,4,47107352,23644760,936281756,9584937.0,1016618805.0,4671381216,5503806816
AMM,ST_Tree_Ac,RIS,8,82528784,23644760,473154660,9584937.0,588913141.0,4208254120,4704854552
AMM,ST_Tree_Ac,RIS,16,152440256,23644760,241595208,9584937.0,427265161.0,3976694668,4255079156
AMM,ST_Tree_Ac,RIS,32,295820736,23644760,120950628,9584937.0,450001061.0,3856050088,4131109784
AMM,ST_Tree_Ac,RWS,1,0,3735099460,14358817,9584937.0,3759043214.0,7470198920,14354897272
AMM,ST_Tree_Ac,RWS,2,32833288,1871045432,14358817,9584937.0,1927822474.0,5606144892,8577835524
