DPU,reduction_network,dataflow,cluster_count,propagation_latency,input_actuation_latency,weight_actuation_latency,psum_access_latency,input_access_latency,weight_access_latency,output_access_latency,psum_reduction_latency,total_latency
AMM,S_Tree,RIS,1,9.248572174793592e-08,1.908399999999811e-05,0.2711520000001885,0.012950497248901205,0.007220387810363396,0.9736666483239891,0.006351126990127643,0.0006011308769292,1.2719609677362207
AMM,S_Tree,RIS,2,5.18666607359879e-08,1.2280000000001195e-05,0.15206400000006945,0.013886967524994746,0.007220387810358415,0.48849762996099594,0.006351126990127643,0.0003163064119106342,0.6683487505651176
AMM,S_Tree,RIS,4,3.143706851534738e-08,8.801999999999461e-06,0.09216800000000956,0.015730786600771693,0.007220387810360068,0.24424881498041057,0.006351126990127643,0.00016719261634139145,0.3658951424350894
AMM,S_Tree,RIS,8,2.589240023801166e-08,8.409999999999266e-06,0.0759119999999933,0.023974077442172496,0.007220387810359224,0.12429009096853845,0.006351126990127643,0.00010179939941493951,0.23785791850300628
AMM,S_Tree,RIS,16,2.306276391734175e-08,8.079999999999101e-06,0.06761599999998501,0.040616611496878424,0.007220387810359235,0.06402144888933217,0.006351126990127643,6.189562487878323e-05,0.1858955738743252
AMM,S_Tree,RIS,32,2.3729925036342515e-08,8.204999999999163e-06,0.06957199999998696,0.08426130951220026,0.0072203878103590845,0.03319627897012904,0.006351126990127643,4.054607514659228e-05,0.2006498780878746
AMM,S_Tree,RWS,1,9.174488639493687e-08,6.724500000006497e-05,0.07524399999999264,0.07079340579670705,3.0743233909953136,0.011365705151927509,0.035290416986286065,0.0005822155504331316,3.2676664712255468
AMM,S_Tree,RWS,2,5.1726133956321415e-08,3.791300000000066e-05,0.049659999999989324,0.07168738297129612,1.5378912855141973,0.011365705151928404,0.035290416986286065,0.0003092756228242689,1.7062420309726554
AMM,S_Tree,RWS,4,3.158987433401385e-08,2.3153999999993243e-05,0.036495999999998995,0.07345493274520005,0.7689460866612633,0.011365705151927781,0.035290416986286065,0.00016498291271253564,0.9257413100472631
AMM,S_Tree,RWS,8,2.5949702420011724e-08,1.9019999999998185e-05,0.034616000000000376,0.09091801919266883,0.3857973710074883,0.01136570515192712,0.035290416986286065,0.00010150058790150711,0.5581080588759746
AMM,S_Tree,RWS,16,2.371901033500917e-08,1.738500000000014e-05,0.035283999999999885,0.12634191559060273,0.1951492808385737,0.011365705151927306,0.035290416986286065,6.223873168911079e-05,0.4035109660180891
AMM,S_Tree,RWS,32,2.4424372908676644e-08,1.790199999999952e-05,0.03588799999999944,0.2607173877815067,0.10067507972098892,0.011365705151927013,0.035290416986286065,4.102576148506623e-05,0.44399554182656614
